Notes for posting,Shared,Timestamp,Contact,Organization,Email,Phone Number,Short Description of Advanced Training Opportunity (3-5 sentences),Location of Advanced Training Opportunity,Date(s) and Time(s) of Advanced Training,Any additional information:,Email Address,,,
,X,10/14/2021 14:11:18,Anna DeMers/Laura Merchant,UW Madison Extension/Lac Courte Oreilles Ojibwe College,anna.demers@wisc.edu,715-635-4444,"Eras of Federal Indian Policy: Participants will learn about the different eras of Federal Indian Policy in the United States. These policies shaped the legal and cultural landscapes of Native Nations. Understanding this framework is important in navigating current issues that face Tribal Communities, from education to injustice.",Virtual (Zoom) links below,"Nov 4, 10-11 AM (presentation) AND 5-8 PM (presentation and watch party/discussion)",10 AM presentation: https://uwmadison.zoom.us/meeting/register/tJAldOmsrj0jH9IohWmyojz7Tqps0ojMcean 5/6 PM presentation and watch party: https://uwmadison.zoom.us/meeting/register/tJMvcu-orjIpG9foQouE1NohRQW4obUvEEXj,,,,
,X,10/14/2021 15:08:26,Anna DeMers/Laura Merchant,UW Madison Extension/Lac Courte Oreilles Ojibwe College,anna.demers@wisc.edu,715-635-4444,Native American Heritage Month: Native American Veterans Learning Opportunity and Watch Party: Learn about the Navajo Code Talkers and the role they played in WWII,Virtual,November 11 - 10 AM and 6 pm,10 AM presentation: https://lco.zoom.us/meeting/register/tZYsf-6srzosGtbdqq0E9AomUidH93A_aMB0 6 PM presentation: https://lco.zoom.us/meeting/register/tZcscuysrjkoHdD15W5kg1Au4Vkw8WnhfrzT,,,,
,X,11/4/2021 23:51:42,Barbara K. Flores,Madison Chapter of Wild Ones,bafheartland@gmail.com,8152898602,"Oak Woodland Restoration Walk, a visit to a well restored woods and a discussion about woodland ecology and how we can help improve woodlands.","Cherokee Marsh Conservation Park, Madison","Saturday, November 20, 9:30-11:30",Dress for the weather and we will be on our feet for the two hours,,,,
,,12/8/2021 16:48:21,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,4143522880,"Tree Identification: Deciduous Trees in Winter
Join naturalist and tree enthusiast Tess Stahler for a two-part deciduous tree winter workshop. We’ll discover how to use bark, twigs, buds, the form or overall shape of the tree, and its habitat to identify up to 34 tree species. We’ll discover adaptations and ecological significance of each tree species while we hike the wonderful wintery trails of Schlitz Audubon. Some portions of this program will take place indoors. Please come prepared by dressing in layers and bringing a mask. This program will take place indoors and outdoors. Please read our current mask policy before participation. Members: $45 | Non-Members: $55
To register: https://www.schlitzaudubon.org/event/tree-identification-deciduous-trees-in-winter/

",Milwaukee,"Saturdays, January 8 and 15, 2022 | 1:00 pm - 3:00 pm","To register: https://www.schlitzaudubon.org/event/tree-identification-deciduous-trees-in-winter/
",,,,
,,12/8/2021 17:20:53,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,4143522880,"Lake Michigan Winter Hike
Accompany Director of Education Tom Finley for a hike along the shore of our Great Lake Michigan. If conditions are right, the winter beach will feature a variety of ice formations such as ice canos, ice shelves, ice caves, and ice pancakes! Learn why these formations occur and how they relate to the geologic history of our beach. This program will take place entirely outdoors. Please read our current mask policy before participation. 
Members: $15 | Non-members: $20
To register: https://www.schlitzaudubon.org/event/lake-michigan-winter-hike-3/

",Milwaukee,"Tuesday, January 18, 2022 | 10:00 am - 11:30 am","To register: https://www.schlitzaudubon.org/event/lake-michigan-winter-hike-3/
",,,,
,,12/8/2021 17:29:34,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,4143522880,"Winter Animal Tracking
Winter is an amazing time to find the tracks and traces of active animals and discover the stories they tell. In this hike led by Naturalist Aubrey Fulsaas, participants will learn how to distinguish common Wisconsin animal tracks, foraging sign, scat, and more while hiking through the habitats at Schlitz Audubon. You’ll learn how to interpret the signs they find to determine winter animal diets and ecological behaviors. This program will take place entirely outdoors. Please read our current mask policy before participation.
Members: $15 | Non-members: $20
To Register: https://www.schlitzaudubon.org/event/winter-animal-tracking/
",Milwaukee,"Saturday, January 22, 2022 | 9:00 am - 10:30 am",To Register: https://www.schlitzaudubon.org/event/winter-animal-tracking/,,,,
,X,1/27/2022 11:44:25,Chris Kavalauskas,Retzer Nature Center,ckavalauskas@waukeshacounty.gov,9786216071,"Get ready for Spring at expert-led workshops! Join us for one session or stay for all three! Online registration is required by Thursday, March 10. $5 per session or all 3 for $12. 
Session 1: 9-10am Understanding Soils. 
Session 2: 10-11am No Brainer Natives; Easy Ways to Incorporate Native Plants in Your Landscape
Session 3: 11-12pm Everything You Ever Wanted to Know About Worms But Were Afraid to Ask
More information and registration is available at: www.waukeshacounty.gov/springworkshops","Retzer Nature Center, Waukesha","Saturday, March 12, 2022, 9am-12pm","Session 1: 9-10am Understanding Soils - Learn about soil formation, the textural triangle and the importance of organic matter in soils in the hands on class (Jayne Jenks, Waukesha County Parks and Land Use). 
Session 2: 10-11am No Brainer Natives; Easy Ways to Incorporate Native Plants in Your Landscape (Carrie Hennessy - Johnson's Nursery).
Session 3: 11-12pm Everything You Ever Wanted to Know About Worms But Were Afraid to Ask (Bernie Williams - WI DNR).
More information and registration (required by 3/10) is available at: 
www.waukeshacounty.gov/springworkshops",,,,
,X,3/3/2022 21:47:54,Amanda Langer,Madison Chapter of Wild Ones,madwildones@gmail.com,920-728-4730,"Queen Bumblebees and Spring Ephemerals
by Amy Jo Dusick, Two Ferns Native Nursery

Amy Jo Dusick of Two Ferns Native Nursery will
give us an overview of WI's native bumblebee
species, their life cycle and why the early spring
blooming plants are integral to their survival.
Discussion will also review a number of spring
ephemeral species and ways to support
bumblebee populations in your backyard.","Goodman  Community Center, 147 Waubesa St, Madison 53704 ","Thursday March 21, 6:00-7:00 pm", Everyone is cordially invited. All Wild Ones programs are free and open to the public. Parking is available at the center. ,,,,
,X,3/4/2022 14:35:22,Megan Espe,Wisconsin Forestry Center,wfc@uwsp.edu,715-346-4509,"Spring Wildflowers Workshop
Join Bob Freckmann, Ph.D. on a spring wildflower walk. We'll enjoy beautiful Powers Bluff County Park, home to some of the most diverse spring wildflowers in central Wisconsin, as we learn to identify spring wildflowers. During a leisurely walk we'll discuss the unique ecology of the site, the property's history, and learn to identify spring wildflowers.","Arpin, WI","May 13, 2022, 9 a.m.-noon OR 1-4 p.m.",The cost for this workshop is $30. Please register here: https://www.uwsp.edu/cnr-ap/WFC/Pages/WFC/WorkshopsandTrainings/SpringWildflowers.aspx,,,,
,X,3/4/2022 14:36:55,Megan Espe,Wisconsin Forestry Center,wfc@uwsp.edu,715-346-4509,"""Tree Planting: 20 minutes in the life or death of a tree"" workshop

20 Minutes in the Life or Death of a Tree is a half-day workshop that focuses on tree planting and tree care.  The workshop includes an introduction to tree biology, a hands-on examination of tree root systems, the application of this knowledge to ensure proper planting, demonstrate proper tree planting techniques, and discuss post-planting tree care.  

Through a combination of presentations, root examinations, and tree plantings this workshop will cover:
Overview of tree root biology and formation and its impact on planting success
Tree planting based on the packaging type (bare-root, container-grown)
Tree care the first year after planting","Schmeeckle Reserve, Stevens Point, WI ","May 27, 2022, noon-4 p.m.",The workshop cost is $35. Please register here: https://www.uwsp.edu/cnr-ap/WFC/Pages/WFC/WorkshopsandTrainings/TreePlanting.aspx,,,,
,X,4/8/2022 18:52:56,Taylor Drogemuller,Dudgeon Monroe Neighborhood Association,water.wingragathering@gmail.com,651-226-6076,"Attend the Lake Wingra Watershed Gathering and talk to folks from 30 different organizations that work to promote the health of Lake Wingra.  There will be kid friendly educational activities and stories from Andi Cloud, a member of the Ho Chunk Nation. ","Vilas Park-702 Randall Ave, Madison Wi",5/21/22 1-4PM,,,,,
,X,4/11/2022 12:23:47,Jessica Tomaszewski,UWSP - Wisconsin Forestry Center ,jtomasze@uwsp.edu,7153462536,"Ruffed Grouse Field Day: From Research to Management
Join UW-Stevens Point's student chapter of The Wildlife Society in a once-in-a-lifetime, hands-on experience with Ruffed Grouse. As part of the workshop, you will join the Treehaven Ruffed Grouse research team and learn firsthand what ruffed grouse's habitat preferences are and how you can incorporate them into your property.  
Information & Registration at: bit.ly/37xqrcR","Treehaven, Tomahawk, WI ","April 28-29, 2022 from 5:30 p.m. - Noon","Registration Deadline: April 14, 2022 - ",,,,
,X,5/2/2022 10:21:51,Clare L Carlson,Friends of Capital Springs Recreation Area,carlson.clare@countyofdane.com,6082243606,Bumble Bee Brigade Training,"Lussier Family Heritage Center, Madison","June 30, 2022","Learn to identify, photograph, and monitor bumble bees with the Wisconsin DNR's newest citizen-based monitoring project!  We encourage volunteers to work in pairs, so consider registering with a partner.  

Lussier Family Heritage Center, 3101 Lake Farm Road, Madison
June 30th, 9:00am - 1:30pm

Space is limited. Register today at 
https://lussierheritagecenter.com/Event/Detail/1268",,,,
,X,5/2/2022 14:42:28,Anne Pearce,"UW-Madison, Wisconsin First Detector Network",anne.pearce@wisc.edu,608-262-9570,"Join us for a hands-on workshop where you can learn how to identify common and new terrestrial invasive plants in Wisconsin and how to map with the new EDDMapS app. We'll also cover resources for planning effective invasive plant management. Whether you need a refresher, or you don't know much about invasive plants yet, we hope you can join us! Lunch included for pre-registered participants. More information and registration here: https://ipaw.org/about-us/membership/idworkshops/",May 18th Oshkosh (Coughlin Center), May 24th Wausau (Marathon Co. Extension Office), June 2nd Dodgeville (Iowa Co. HHS Building), June 9th Osceola (The Acreage at Osceola),Dates above, all workshops run 10 am - 2 pm,This is the same workshop repeated at four locations on four separate dates.
,X,6/23/2022 13:57:03,Rachael Lewandowski-Sarette,Upham Woods,lewandowskis@wisc.edu,608-254-6461,"Join Upham Woods and local community members to learn about being disabled in the outdoors. This 2-hour event will be split into 2 parts: 1) A facilitated panel featuring local disabled outdoor enthusiasts as they share their stories and advice and 2) A presentation with breakout sessions to learn about hosting outdoor events with disabled community members. Please pre-register for this free event. For help registering, call us at 608-254-6461.","Upham Woods, Wisconsin Dells","September 14, 1-3 pm",Check out our website for additional details and to pre-register for this event. https://fyi.extension.wisc.edu/uphamwoods/2022/06/23/september-14-accessibility-outdoors/,,,,
,X,7/2/2022 13:08:02,Howard Aprill,Wehr Nature Center,Howard.Aprill@MilwaukeeCountyWI.gov,414-425-8550,"Mystery of Animal Flight      Modern insects, bats, nd birds are inheritors of the legacy of flight. legacy that started over 350 million years ago. This workshop explores how and why life on Earth developed flight. Try hands-on demonstrations of flight, followed by an outdoor search for flying creatures. ","Wehr Nature Center 9701 W. College Ave, Franklin, WI 53132","Saturday, July 23, 2022 9am - Noon ","Cost: $20 per person. Pre-registration required. Limited seats. To register, go to: https://friendsofwehr.org/events/advanced-master-naturalist-metamorphosis-mystery-of-animal-flight/     Questions: Call Howard at 414-425-8550",,,,
,X,7/12/2022 11:26:31,Jennifer Ashburn,"Wisconsin DNR, Sandhill Wildlife Area",jennifer.ashburn@wisconsin.gov,715-884-2054,"Wild Edibles Hike: Join a botanist for a short classroom discussion, followed by a hands-on hike to look for seasonal wild edibles. Please bring a water bottle and bug spray as insects are expected. Preregistration and a $5 fee are due by August 16. Contact Jen Ashburn, jennifer.ashburn@wisconsin.gov to register.","Sandhill Wildlife Area, Babcock, WI","August 27, 10:00 a.m.",,,,,
,X,7/12/2022 11:31:41,Jen Ashburn,"Wisconsin DNR, Sandhill Wildlife Area",jennifer.ashburn@wisconsin.gov,715-884-2054,"Mushroom Hunting: All outdoor event will include hands-on identification, hand outs, recipes, and online resources. Registration and $5 due by September 1st. Contact Clara Kubisiak, cjkubisiak@yahoo.com, 715-423-4876.","Sandhill Wildlife Area, Babcock, WI","September 10, 2022,  9:00 a.m.",,,,,
,X,7/12/2022 11:39:10,Jen Ashburn,"Wisconsin DNR, Sandhill Wildlife Area", jennifer.ashburn@wisconsin.gov,715-884-2054,"Intro to Controlled Burns as a Habitat Management Tool. Find out controlled fire is used to improve or change habitat. Presented in conjunction with the Nature Conservancy. $10 fee and registration due by September 19. Contact Vicki Palen, vpalen@tds.net, 715-652-3131.","Sandhill Wildlife Area, Babcock, WI","September 24, 2022, 9:45-12:30",,,,,
,X,7/12/2022 13:20:18,Stephanie Schmidt,International Crane Foundation,sschmidt@savingcranes.org,608-356-9462,"Please join the International Crane Foundation for a 2-hour advanced training for Master Naturalists at our site in Baraboo, WI. In this training, Stephanie Schmidt, Whooping Crane outreach coordinator, will lead a 1-hour program about the history, biology, and threats impacting Wisconsin's Cranes and Andy Gossens, crane project manager, will lead naturalists on a walk through ICF's prairies to discuss native Wisconsin plants, restoration practices such as prescribed fire, and Whooping Crane and Sandhill Crane habitat associations in Wisconsin. This program is open to a maximum of 20 participants and will be half indoors and half outdoors. Following the 2 hour advanced training all participants will receive free admission to explore ICF's exhibits on 9/26 and learn more about the 15 species of cranes found around the world!","International Crane Foundation, Baraboo, WI","Monday September 26, 2022 9am-11am",This training opportunity will be open to a maximum of 20 Wisconsin Master Naturalists.  To reserve your spot in the training please email sschmidt@savingcranes.org. All participants must reserve a spot in advance. The International Crane Foundation will organize the program to meet current covid safety precautions on 9/26.  ,,,,
,X,7/15/2022 12:50:48,Clare L Carlson,Friends of Capital Springs Recreation Area,clcarlson777@gmail.com,6085133252,"Join Master Naturalist and Odonata enthusiast Bob Honig for a dragonfly and damselfly indoor presentation at the Lussier Family Heritage Center followed by a field walk at William G. Lunney Lake Farm County Park.  Dragonflies and damselflies together comprise the insect order Odonata. These raptors of the insect world are important in both terrestrial and aquatic food webs. 

In the presentation, you'll hear about how these insects make their livings and you'll get familiar with some of the common species in our area. After the slide presentation, you have an opportunity to observe these insects in nature and to look at their larvae and other aquatic critters we catch with a dip net. 

This is a free event.

Capacity is limited, so sign up today! Please sign up here: https://lussierheritagecenter.com/Event/Detail/1347  

Questions? Contact Friends naturalist Clare at carlson.clare@countyofdane.com. ","Lussier Family Heritage Center, 3101 Lake Farm Road, Madison, 53711","August 18, 2022, 1:30pm - 4:00pm","Please wear appropriate shoes for walking on grass trails, and bring sun protection as well as drinking water. ",clcarlson777@gmail.com,,,
,X,9/6/2022 14:51:04,Jeremy Solin,UW-Madison Division of Extension,jsolin@wisc.edu,715.498.4733,"Wisconsin Maple Hour: Maple Tree Identification and Distribution
DATE        Thursday, September 22, 2022
TIME        6:00 pm – 7:00 pm CDT
WHERE        Zoom
uwmadison.zoom.us… 

Meeting ID: 972 4997 9436
Passcode: 590976
AUDIENCE        Adults, Seniors
COST        Free
REGISTRATION REQUIRED        No
EVENT TYPE        Free Events, Talks & Lectures, Virtual/Online, Workshops & Classes
TOPIC        Community Food Systems, Farm Management, Land & Forestry
COUNTY        Adams, Ashland, Barron, Bayfield, Brown, Buffalo, Burnett, Calumet, Chippewa, Clark, Columbia, Crawford, Dane, Dodge, Door, Douglas, Dunn, Eau Claire, Florence, Fond du Lac, Forest, Grant, Green, Green Lake, Iowa, Iron, Jackson, Jefferson, Juneau, Kenosha, Kewaunee, La Crosse, Lafayette, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Marquette, Menominee, Milwaukee, Monroe, Oconto, Oneida, Outagamie, Ozaukee, Pepin, Pierce, Polk, Portage, Price, Racine, Richland, Rock, Rusk, Saint Croix, Sauk, Sawyer, Shawano, Sheboygan, Taylor, Trempealeau, Vernon, Vilas, Walworth, Washburn, Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood
NAMED PROGRAM        NRI - Maple Syrup
CONTACT NAME        Jeremy Solin
CONTACT EMAIL        jsolin@wisc.edu

CONTACT PHONE        715.498.4733
DESCRIPTION        We're excited to kick-off Wisconsin Maple Hour. Maple Hour will be a monthly Zoom session that will focus on a topic of interest to Wisconsin maple syrup/sugar producers and will include time for general Q&A/discussion.


The September Maple Hour will feature Brad Hutnik, Wisconsin DNR Forest Ecologist/Silviculturist. We'll be discussing maple identification and distribution in the state.


The session will be held:
Thursday, September 22, 2022
6:00 - 7:00 pm central
Join Zoom Meeting
https://uwmadison.zoom.us/j/97249979436?pwd=QUhINmhJSjdKVDV5ZERadXJ3RWsrUT09

Meeting ID: 972 4997 9436 Passcode: 590976

It's free and no registration is necessary, just join the Zoom!",On-line,"Thursday, September 22, 2022, 6:00 pm",,jsolin@wisc.edu,,,
,X,9/21/2022 16:23:01,Gail Epping Overholt,UW-Madison Arboretum,gail.overholt@wisc.edu,6082625522,"Fall lectures will take place 7 to 8:30 p.m. on select Tuesday and Thursday evenings in October. Talks are held in the Visitor Center auditorium. Two of the speakers will present remotely. Fall lectures are free and open to the public, no registration required.","UW-Madison Arboretum, 1207 Seminole Highway Madison WI ","Oct 11, Oct 20, Oct 25 7-8:30 PM","Tuesday, October 11
Relationship and Connection – Community and Ecological Restoration. Kate Morgan, senior public engagement specialist, Milwaukee Metropolitan Sewerage District (MMSD). From micro-local to larger landscapes, integrating people and community with ecological restoration is critical for success and restores not only ecosystems but also the relationships of people to those ecosystems. This presentation focuses on MMSD efforts to foster these relationships. Free, no registration required. Meet at Visitor Center.

Thursday, October 20
Restoring Healthy Food Connections on Madison’s South Side. Robert Pierce, owner and farmer, Neighborhood Food Solutions. NFS was founded to engage community members in learning about the economic, social, health, and environmental impacts of food, and to promote participation in implementing development strategies that create food-related economic opportunities. This presentation will explore two programs and how they work to restore Madison communities. Free, no registration required. Meet at the Visitor Center.

Tuesday, October 25
Dream of Wild Health. Jessika Greendeer, farm director, Dream of Wild Health (DWH). DWH is an intertribal, independent nonprofit that serves the Minneapolis-Saint Paul Native American community. Their 30-acre farm in Hugo, Minnesota, provides educational programs that reconnect the urban Native American community with traditional Native plants and their culinary, medicinal, and spiritual use. Remote speaker. Free, no registration required. Meet at the Visitor Center.",gail.overholt@wisc.edu,,,
,,9/26/2022 14:59:00,Anne Pearce,UW-Madison/WI First Detector Network,anne.pearce@wisc.edu,608-262-9570,"Join us at the Green Bay Botanical Garden on October 8th for an invasive species workshop! Attendees will have the opportunity to learn about invasive plants and what they are, how to identify them, how to report them with the EDDMapS App, and lastly, how to control them! This event will be held in collaboration with the Wisconsin First Detector Network and Green Bay Botanical Garden.",Green Bay Botanical Garden and Virtual,"Saturday, October 8th, 9:30 am - 12:oo pm",Event page/to register: https://www.newinvasivespartnership.org/upcoming-events,anne.pearce@wisc.edu,,,
,X,11/11/2022 15:18:48,Rachael Lewandowski-Sarette,Upham Woods Outdoor Learning Center,lewandowskis@wisc.edu,608-254-6461,"The angler education program is looking for people who enjoy working with children, like to fish or would like to learn by helping to teach others. Instructors provide opportunities to learn basic fishing skills, explore Wisconsin’s aquatic resources and develop a set of conservation ethics to help ensure that Wisconsin’s lakes and streams will remain bountiful for generations to come. Trained instructors have access to educational resources and loaner fishing equipment. You must pre-register for this free workshop.",Upham Woods Outdoor Learning Center- Wisconsin Dells,Saturday Dec. 10 9am-3pm,Check our website for additional information and instructions on how to register: https://fyi.extension.wisc.edu/uphamwoods/2022/11/09/fishing-instructor-workshop/,lewandowskis@wisc.edu,,,
,X,1/17/2023 13:31:00,Winter Tree Identification,Retzer Nature Center,ckavalauskas@waukeshacounty.gov,2628968007,"This course will cover field identification techniques for common trees native to our region using clues found in bark, buds, and branching patterns. You will also learn to use a simple dichotomous key and have the opportunity to test your new skills. A portion of this course will take place outdoors, so please dress appropriately for the weather.","Retzer Nature Center, Waukesha","Wednesday 2/8, 9am-11am","Cost of the course is $10. Limited to 20 participants. Online Registration is required by Monday, 2/6. Registration link and information: https://anc.apm.activecommunities.com/waukeshacountyplu/activity/search/detail/1120?onlineSiteId=0&from_original_cui=true",ckavalauskas@waukeshacounty.gov,,,
,X,1/17/2023 16:13:42,Retzer Nature Center - Spring Workshop Day,Retzer Nature Center,ckavalauskas@waukeshacounty.gov,2628968007,"Spring Workshop Day consists of two programs for $24. Save the Song Birds w/ Mary Kay Diderrich from Wild Birds Unlimited - Delafield; 9:00 - 9:45 am and Monarch Preservation w/ Karen S. Oberhauser, Arboretum Director & Professor, Dept. of Entomology University of Wisconsin – Madison; 10:00 am - 12:00 pm",Retzer Nature Center,Saturday March 18. Save the Song Birds 9-9:45 & Monarch Preservation 10am-12pm,"Please register by 3/17 at the following link: https://www.waukeshacounty.gov/springworkshops
* Save the Song Birds: Join the backyard bird-feeding experts from Wild Birds Unlimited - Delafield to learn how to create a certified wildlife habitat in your yard to help save the song birds!
* Monarch Preservation: It’s all about monarch butterflies at this two-part presentation! First, learn about the amazing biology of migratory monarchs, how we can use data to understand what is driving monarch numbers, and what we can do with that information. Then, find out how you can get involved with monarch butterfly research and conservation with a short introduction and training about the Monarch Larva Monitoring Project and citizen science opportunities in your community.",ckavalauskas@waukeshacounty.gov,,,
,X,1/17/2023 16:25:01,Rachael Lewandowski-Sarette,Upham Woods Outdoor Learning Center,uphamwoods@extension.wisc.edu,608-254-6461,"Become certified in chainsaw safety with these classes from Forest Safety Instruction. Level 1 provides confidence and safety, learning the chainsaws reactive forces, focusing on open face notching, including pre-planning the fell, bore cutting, as well as understanding the hinge strength. Level 2 provides a focus on applying basic maintenance techniques to achieve maximum chainsaw performance such as filing techniques and carburetor adjustments. More Felling techniques and assessments are practiced and limbing and bucking techniques are introduced.","Upham Woods Outdoor Learning Center, Wisconsin Dells","Level 1: Friday, April 7th from 8 am- 4 pm Level 2: Friday, April 21st from 8 am- 4 pm",Each class costs $120. Find a full list of class topics and instructions to register here: https://fyi.extension.wisc.edu/uphamwoods/2022/12/21/chainsaw-safety-training/,lewandowskis@wisc.edu,,,
,X,1/20/2023 15:26:14,Elizabeth Alvey,Pringle Nature Center,naturalist@pringlenc.org,2628578008,"Learning to recognize wild-growing food sources opens up a world of possibilities, including becoming attuned to your local plants and environment, exploring culinary and nutritional diversity, and experiencing the satisfaction of “living off the land.” For the first time, Pringle Nature Center is offering a multi-session program meeting from the spring through fall of 2023, in which participants will learn the basic tenets of foraging, as well as how to safely identify, gather, and prepare over 50 species of plants that grow in the Midwest. Each 3-hour session of the 4-part program will include a staff-guided hike for seasonal, wild edibles in Bristol Woods County Park, culminating in a group lunch in which participants will prepare and consume a meal of the day’s harvest. ","Pringle Nature Center, Bristol, WI","May 13th, July 8th, September 2nd, & October 28th, 2023: 10 am-1 pm","age 16 & up, $80/person (member discount available), register by May 10th at www.pringlenc.org/intro-to-foraging",naturalist@pringlenc.org,,,
,X,2/16/2023 14:46:59,Rachael Lewandowski Sarette,Upham Woods,lewandowskis@wisc.edu,608-890-1137,"This training will certify you as a Fishing Education Instructor and provide you with tips and materials to lead fishing programs. We’ll even go fishing to do some practice teaching. Successful program models include 4-H projects, adult education, community fishing outings, meet-ups for young adults, after-school fishing clubs, summer enrichment classes, day camps, school-family events, and helping scouts earn merit badges. More information on this certificate can be found on the Wisconsin DNR website. https://dnr.wisconsin.gov/topic/Fishing/anglereducation/index

Please register here: https://uwmadison.co1.qualtrics.com/jfe/form/SV_bQMlR80BwiO6IT4?jfefe=new","Upham Woods, Wisconsin Dells","Saturday, April 1st from 9 am-3 pm.","free, in-person",lewandowskis@wisc.edu,,,
,,4/27/2023 15:57:34,Kathryn Bernard,Wisconsin Sea Grant,krbernard2@wisc.edu,7034891310,"The Wisconsin Coastal Atlas is a website that curates data, maps, and learning opportunities related to Wisconsin's Great Lakes Coasts. The Atlas houses a variety of resources ranging from interactive web maps to geospatial data portals to interactive learning opportunities for a wide range of age groups. ",https://www.wicoastalatlas.net/,None (virtual),,krbernard2@wisc.edu,,,
,x,6/9/2023 8:52:21,Krista Lutzke,Peninsula State Park,Krista.Lutzke@wisconsin.gov,920.365.9905,"Are you interested in learning more about the bumble bees in your backyard? Have you heard that Wisconsin is home to the federally endangered rusty patched bumble bee? Help the DNR learn more about bees across the state by getting involved in the Bumble Bee Brigade (B3), and learn how you can help teach others. This 4-hour training will cover:  

•        Part 1: Basics. We’ll talk about what this community science project is, how to get involved, and bee biology basics. We’ll also cover some planting recommendations for bees.  
•        Part 2: A bee identification activity
•        Part 3: An outdoor pollinator walk and photography 
•        Part 4: Spread the word! An Educator’s Guide to Giving Pollinator Presentations to your friends, family, and community","Peninsula State Park; White Cedar Nature Center 9462 Shore Rd. Fish Creek, WI 54212","June 21, 2023 11:00 AM - 3:00 PM",Registration is capped at 20,krista.lutzke@wisconsin.gov,,,
,X,6/12/2023 9:08:07,Karen Merlau,Wisconsin Garden Club Federation,kmerlau@tds.net,9208381277,"WGCF is holding its Environmental School consisting of 2 days of training in environmental topics.  Participants will learn about ecology, biodiversity, backyard habitat, sustainability, various environmental issues, the history of the environmental movement, plus a field trip.  View course brochure and registration information at: 
 https://www.wisconsingardenclub.org/news--events.html","Maywood Environmental Park, Sheboygan, WI","October 20-21, 2023",,kmerlau@tds.net,,,
,X,9/8/2023 13:03:07,Marian Farrior,UW-Madison Arboretum,marian.farrior@wisc.edu,608-658-7519,"Identifying and Monitoring Wisconsin’s Snakes
Wisconsin has more than twenty snake species, nearly all are harmless and fascinating. Learn their natural history, how to identify them, when to look for them, and how to monitor populations. Instructor: Rebecca Christoffel, Christoffel Conservation. Indoor presentation followed by outdoor monitoring demonstration. Meet at the Visitor Center. Fee: $35. Register by September 12» You can also register in person (in advance) at the front desk; you would need to pay via check or exact cash.","UW-Arboretum, Madison","Saturday, September 16, 1–4:30 p.m.",,marian.farrior@wisc.edu,,,
,x,9/12/2023 14:44:17,Wisconsin Bat Basics,Retzer Nature Center,ckavalauskas@waukeshacounty.gov,262-896-8235,"Celebrate International Bat Week by learning more about Wisconsin Bats. Did you know that bats make up 25% of Earth’s mammals? To learn more, join us for an informative evening event featuring: Julia Robson, Conservation Biologist for Waukesha County Parks and Land Use; Marcus Mueller, owner of Skedaddle Humane Wildlife Control; and Caroline Frantz, Wisconsin Master Naturalist, Bat Ambassador.","Retzer Nature Center, Waukesha",10/26/23 6pm-8pm,"Free Program, but register by noon 10/25/23
More information and registration link can be found at: https://www.waukeshacounty.gov/events/park-system/231026wisconsinbatbasics/",ckavalauskas@waukeshacounty.gov,,,
,x,10/6/2023 14:38:17,Amy Mueller ,Sierra Club Wisconsin Chapter ,amymueller10@gmail.com,414-852-3977,"Wolf Awareness Week (October 15-21) is the perfect time learn more about an Endangered keystone species in our state that is often misunderstood. 
Background: In 1990, Wisconsin Governor Tommy Thompson signed the proclamation of Wisconsin Wolf Awareness Week, a time to celebrate these important animals by highlighting the threats to their survival, spreading the word about what you can do to help wolves stay protected, and helping humans learn to live alongside them. 
In that spirit, the Sierra Club is hosting a virtual Wolf Awareness Week of activities. It is an opportunity focus on wolf education and fun across the state! 
When you sign up for the Wolf Awareness Week, you will get a daily email with the theme of the day and cool things to check out or participate in! It's all virtual and you will receive a wolf sticker just for registering! ",Virtual activities: Sign up: https://act.sierraclub.org/events/details?formcampaignid=7013q000001rfKvAAI,October 15-21,,amymueller10@gmail.com,,,
,X,11/9/2023 13:04:40,Sam De Roche,Wisconsin Department of Natural Resources,Sandra.DeRoche@wisconsin.gov,(715) 540-6013,"The Mead Book Club will take a critical look at ""The Hidden Life of Trees"" by Peter Wohlleben. The three-part discussion starts in December (and continues through February); the first Saturday of each month, 9-10:30am, we will meet virtually to discuss the book in progressing sections. To register for the link and the list of questions for chapters 1-12, email Sam at Sandra.DeRoche@wisconsin.gov.",George W Mead Wildlife Area,"December 2, 9-10:30am, January 6, 9-10:30am, and February 3, 9-10:30am","Registration is required to get both the link and questions for these virtual events, Sandra.DeRoche@wisconsin.gov.",Sandra.DeRoche@wisconsin.gov,,,
,X,11/20/2023 15:43:17,Matthew Smith,Riveredge Nature Center,msmith@riveredge.us,4147311541,"Winter Identification and Management of Woody Species
Learn how to identify, manage and monitor trees and shrubs during the dormant season with Riveredge restoration ecologists. The first half of the morning will be spent indoors reviewing a large collection of freshly cut live specimens by fruit, bud, twig, branch, bark, and trunk. Following lunch we will take the course outside to review management and identify populations by setting and habitat.","Riveredge Nature Center Newburg, WI",Dec 15th 8am-4pm,"Continuing Education Credits Available to Arborists, Master Naturalists, etc.",msmith@riveredge.us,,,
